SOURCEOBJECTID,ATTRIBUTEID,ATTRIBUTENAME,ATTRIBUTEDESCRIPTION,ATTRIBUTEDATATYPE
1,3520,ALC,Agency Location Code,TEXT
1,3522,PMT_OFFICE,Payment Office,TEXT
1,3524,FEE_SCHEDULE,Fee schedule,TEXT
1,3526,DUNS,DUNS Number,TEXT
1,3528,DUNS4,DUNS+4,TEXT
1,3530,PSOFG,Processor group,TEXT
1,3532,PSOIS,Subledger acct preprocessing procedure,TEXT
1,3534,PSON1,Name 1,TEXT
1,3536,PSON2,Name 2,TEXT
1,3538,PSON3,Name 3,TEXT
1,3540,PSOVN,First Name,TEXT
1,3542,PSOTL,Title,TEXT
1,3557,ZZCUST_SYNC_SYSTEM,ZZCUST_SYNC_SYSTEM,TEXT
1,3558,ZZCUST_UPDATE_IND,ZZCUST_UPDATE_IND,TEXT
1,3559,ZZCUST_SYNC_STATUS,ZZCUST_SYNC_STATUS,TEXT
1,3560,ZZCUST_SYNC_CODE,ZZCUST_SYNC_CODE,TEXT
1,3561,ZZCUST_SYNC_TIME,ZZCUST_SYNC_TIME,TEXT
1,3562,ZZCUST_SFCC_ID,ZZCUST_SFCC_ID,TEXT
1,3563,ZZCUST_LASTCHANGED_BY,ZZCUST_LASTCHANGED_BY,TEXT
1,3564,ZZCUST_STORE,ZZCUST_STORE,TEXT
